address,label,n_transactions,bag_purity_proxy,mean_density,max_value_ratio,counterparty_novelty_rate,total_in_eth,total_out_eth
0x33497eded4c3bf6aa93dee5b75f5241ff1a20f58,normal,1772,0.0,5.81941309255079,0.07363749308359428,0.045146726862302484,703.4175900004617,9597.358
0xd5d85b6fb9b685f48b682a400122ac7717e2bf50,normal,5,0.0,5.0,1001000000000.0,1.0,1001.0000000000001,1000.9986769999999
0xd11d341e777722a87eccf9a35b901ac19da49e8d,normal,3,0.0,1.6666666666666667,0.0,1.0,0.0,3.087275738
0x420fdff52cf02e83fdea040297ddc6d2d5882622,normal,6,0.0,6.0,3001000000000.0,1.0,3001.0,3000.9981075957508
0xdfccaafceda396eac71c8ab949758772446ac486,normal,3,0.0,1.6666666666666667,483839.99999999994,1.0,0.00048384,1.336e-05
0x8e8cb4b16e119d3e4d461cc49591b03bc1ac2101,normal,5,0.0,5.0,1000999999999.9999,1.0,1001.0,1000.9985276983965
0x516cdd88ea24142ca5aaf15b9ce3736cfd41ab58,normal,4,0.0,2.5,2000000.0,0.75,0.002,0.001134168
0x9857a89266fc2bc62a4b77e40e4fbf8adf41330d,normal,5,0.0,1.0,1130922519.9999998,1.0,2.46362976,2.456328105
0x3a7b83b0df273e8837a4fc5b8be516efcc3ea5b8,normal,28,0.0,1.2857142857142858,1699999999.9999998,0.2857142857142857,20.953639231000004,20.753114651
0x0397ebfbdbc0c37eb2c46811df5838f19c6085c5,normal,5,0.0,5.0,115000000000.0,1.0,115.0,114.99874
0x99d84f2107ef9010d2db9d4dfbf2282207b4c817,normal,8,0.0,1.0,5126400000.0,0.625,5.1264,5.121576470000001
0xa12275270030e44fb678edd344e1de4094001495,normal,6,0.0,6.0,101000000000.0,1.0,101.0,100.99832000000002
0x59c73c933818b862ffd9644e0e20864911ee367e,normal,6,0.0,2.0,391118670.0,1.0,1.11030799,1.10318899
0xecc5b33dd805dccf69f5ae703eb3004e1b1d0af2,normal,3,0.0,1.0,395850649.99999994,1.0,0.39585064999999997,0.39501065
0x117275414d9cf61589254e1825d1d71f5127848b,normal,5,0.0,5.0,101000000000.0,1.0,101.0,100.99672400000001
0x00b8d0c5b455ddc71e0a6382728920a2a6088c01,normal,3,0.0,3.0,27650000.0,0.6666666666666666,0.02765,0.022825961
0xf258a39278c4b329f8a9102bdb84bfc8de8a3300,normal,3,0.0,1.0,587965949.9999999,1.0,0.58796595,0.58196595
0xe93b8f9e1ead74bb583a84f9c7b49bb7c25dc247,normal,5,0.0,5.0,101000000000.0,1.0,101.0,100.997795
0x1430037a6ecea666f0bcadbb872f5d16f186a455,normal,9,0.0,1.4444444444444444,9159800000.0,0.5555555555555556,9.2331,9.158939
0xfc617a926b6a2d27b9c94fe5a57857934efdc5bd,normal,4,0.0,4.0,101000000000.0,1.0,101.0,100.99915999999999
0x40e27f2bdb98d7f965b6c8a58b69db1d3847bde1,normal,5,0.0,5.0,101000000000.0,1.0,101.0,100.998614
0x78c9f3aa88c4396ed22995412e45bbf54218f5bc,normal,5,0.0,5.0,101000000000.0,1.0,101.0,100.99874000000001
0x1599b0836c4aec99e1205b45819a69de88a548bc,normal,5,0.0,5.0,101000000000.0,1.0,101.0,100.99831999999999
0xa48ed87b876fa1376bd69723657e01275a113b60,normal,4,0.0,1.5,7355444620.0,0.5,7.35544462,9.82402462
0x7e6151abc1cf73de46b1eccf046b22d9d5f4a92d,normal,3,0.0,1.0,991724530.0,1.0,0.99172453,1.9907585300000001
0x9b08b0fc4455e527bdf18039389d4329bbe716c3,normal,4,0.0,4.0,3500000.0,0.75,0.0035,0.0027
0xcf7a1d888c0a089ea8a47212f84f797735801084,normal,6,0.0,1.6666666666666667,1570510368.0465224,0.3333333333333333,4.800188028046522,4.793831028046522
0x038c8ca8f93964491a5b8269abf78f8835b0c98f,normal,324,0.012345679012345678,1.0123456790123457,250565491.0634839,0.012345679012345678,12.493847023591728,12.355044507591726
0x6d62fb300849ec526fbf8f4f64704ab52aff9151,normal,10,0.0,2.8,7879602499.999999,0.6,85.81389978,85.76169436
0xec9ce0a4925889a92c1ad3917dbfb224e48daded,normal,6,0.0,1.0,537534230.0,0.3333333333333333,1.80201128,1.80012128
0xc727bd3f238dd01d2850962ea326bf6111bc70d2,normal,3,0.0,1.0,2648064.649607234,1.0,0.002648064649607234,0.0011
