window_idx,tx_global_idx,tx_in_window_idx,attention_score,window_score,z_amount,density,counterparty_novelty,value_ratio
0,0,0,0.008298209868371487,0.9999799728393555,-0.013592390636320124,1.0,1.0,450017190.0
0,1,1,0.008298209868371487,0.9999799728393555,-0.05481141505804412,2.0,1.0,457392655.0
0,2,2,0.008298209868371487,0.9999799728393555,-0.04624129364102144,2.0,1.0,556800704.0
0,3,3,0.008298209868371487,0.9999799728393555,-0.05485366051961434,1.0,1.0,563722504.6
0,4,4,0.008298209868371487,0.9999799728393555,-0.05507480259382964,2.0,1.0,568269510.7798501
0,5,5,0.008298209868371487,0.9999799728393555,-0.05528357935901348,3.0,1.0,570574510.7798501
0,6,6,0.008298209868371487,0.9999799728393555,-0.05515511402436562,2.0,1.0,574259070.77985
0,7,7,0.008298209868371487,0.9999799728393555,-0.0541702561160354,4.0,1.0,588519795.77985
0,8,8,0.008298209868371487,0.9999799728393555,-0.054844306806216235,4.0,1.0,595542043.7798499
0,9,9,0.008298209868371487,0.9999799728393555,-0.05503384947593543,4.0,1.0,600528836.1750007
0,10,10,0.008298210799694061,0.9999799728393555,-0.05464741055904504,4.0,1.0,609665508.1750007
0,11,11,0.008298209868371487,0.9999799728393555,-0.05474203440941069,4.0,1.0,617786036.1750007
0,12,12,0.008298209868371487,0.9999799728393555,-0.05541992365887707,4.0,1.0,618626865.7601928
0,13,13,0.008298209868371487,0.9999799728393555,-0.05525898623158118,6.0,1.0,621195965.7601928
0,14,14,0.008298209868371487,0.9999799728393555,-0.05408238834511491,9.0,1.0,636400282.7601928
0,15,15,0.008298209868371487,0.9999799728393555,-0.05514097646811127,11.0,1.0,640236662.7601928
0,16,16,0.008298209868371487,0.9999799728393555,-0.054938363550900614,11.0,1.0,646248856.7790742
0,17,17,0.008298209868371487,0.9999799728393555,-0.05524394857245005,10.0,1.0,648979442.7790742
0,18,18,0.008298210799694061,0.9999799728393555,-0.055362183161828275,10.0,1.0,650440334.4247978
0,19,19,0.008298209868371487,0.9999799728393555,-0.05537884001197682,10.0,1.0,651722351.9465882
0,20,20,0.008298209868371487,0.9999799728393555,-0.05522584464107322,9.0,1.0,654647351.9465882
0,21,21,0.008298209868371487,0.9999799728393555,-0.05519651167953904,9.0,1.0,657887351.9465882
0,22,22,0.008298210799694061,0.9999799728393555,-0.055192484217360144,9.0,1.0,661170601.9465882
0,23,23,0.008298209868371487,0.9999799728393555,-0.05542520848871326,9.0,1.0,661954678.9465882
0,24,24,0.008298209868371487,0.9999799728393555,-0.054277624644648914,1.0,1.0,675062397.7465881
0,25,25,0.008298210799694061,0.9999799728393555,-0.05483900061315547,3.0,1.0,682141627.7465881
0,26,26,0.008298209868371487,0.9999799728393555,0.2611115214023743,3.0,1.0,4082141627.7465878
0,27,27,0.008298209868371487,0.9999799728393555,-0.043137975541067915,4.0,0.0,4214875503.7465873
0,28,28,0.008298209868371487,0.9999799728393555,-0.0549309217337574,2.0,1.0,4220967613.7465873
0,29,29,0.008298210799694061,0.9999799728393555,-0.05475049049693765,1.0,1.0,4228997333.7465873
0,30,30,0.008298209868371487,0.9999799728393555,-0.054752459995783515,1.0,1.0,4237005903.7465873
0,31,31,0.0046876901760697365,0.9999799728393555,0.03762229066585126,1.0,1.0,4.237005899509581
0,32,32,0.0047330246306955814,0.9999799728393555,-0.05241997999837103,1.0,1.0,4.270062441476525
0,33,33,0.004937697201967239,0.9999799728393555,-0.031701434515551914,1.0,1.0,4.525610729220976
0,34,34,0.005990525707602501,0.9999799728393555,-0.05313163694204636,4.0,1.0,4.551024949195562
0,35,35,0.006395351607352495,0.9999799728393555,-0.018250017018279503,4.0,1.0,4.951024948795562
0,36,36,0.0066438703797757626,0.9999799728393555,-0.054812672184967014,6.0,1.0,4.958386913788201
0,37,37,0.005712032783776522,0.9999799728393555,-0.054553295891643434,6.0,0.0,4.9685342617780535
0,38,38,0.006727805361151695,0.9999799728393555,-0.05518905738248885,7.0,1.0,4.971854311774734
0,39,39,0.006731637753546238,0.9999799728393555,-0.05496878224350007,7.0,1.0,4.977539846369049
0,40,40,0.006733295973390341,0.9999799728393555,-0.05530594080281393,7.0,1.0,4.979604711909747
0,41,41,0.006766382604837418,0.9999799728393555,-0.054836135294976406,8.0,1.0,4.986714711902637
0,42,42,0.006768503226339817,0.9999799728393555,-0.05525563957347141,8.0,1.0,4.989319750900032
0,43,43,0.006669131573289633,0.9999799728393555,-0.055313339046317994,6.0,1.0,4.991305168387089
0,44,44,0.006746720522642136,0.9999799728393555,-0.05474638388232286,7.0,1.0,4.999378988379014
0,45,45,0.006677637808024883,0.9999799728393555,-0.05519330647148823,6.0,1.0,5.002653408375741
0,46,46,0.006200559437274933,0.9999799728393555,-0.05320045929715125,3.0,1.0,5.027328560738244
0,47,47,0.006390708964318037,0.9999799728393555,-0.036874119579656424,3.0,1.0,5.227328560538244
0,48,48,0.006403947249054909,0.9999799728393555,-0.05481572551346143,3.0,1.0,5.234657736530915
0,49,49,0.005679920315742493,0.9999799728393555,-0.05504278611136223,3.0,0.0,5.239548560426614
0,50,50,0.006031758151948452,0.9999799728393555,-0.054812672184967014,2.0,1.0,5.246910525419252
0,51,51,0.006039049476385117,0.9999799728393555,-0.054752459995783515,2.0,1.0,5.254919095411244
0,52,52,0.006046007853001356,0.9999799728393555,-0.05478887616912434,2.0,1.0,5.262536600403626
0,53,53,0.006500673480331898,0.9999799728393555,-0.006144350353384505,2.0,1.0,5.7925365998736265
0,54,54,0.005298047326505184,0.9999799728393555,-0.05091006980758175,1.0,0.0,5.841807723824355
0,55,55,0.006046812050044537,0.9999799728393555,-0.055498222141033345,1.0,1.0,5.841807723824355
0,56,56,0.006050399038940668,0.9999799728393555,-0.05508819017422156,1.0,1.0,5.846210963819952
0,57,57,0.009789771400392056,0.9999799728393555,1.0,3.0,1.0,21.57527871878885
0,58,58,0.009543928317725658,0.9999799728393555,-0.05457573868601403,3.0,0.0,21.585185058716448
0,59,59,0.009732269681990147,0.9999799728393555,0.04148297400631188,3.0,1.0,22.626644057674987
0,60,60,0.00945587269961834,0.9999799728393555,-0.05473209360842753,2.0,1.0,22.634871337666763
0,61,61,0.009222577325999737,0.9999799728393555,-0.054773423658108646,2.0,0.0,22.64265478365898
0,62,62,0.009189669974148273,0.9999799728393555,-0.055172216537747724,1.0,1.0,22.646155683655476
0,63,63,0.009455103427171707,0.9999799728393555,-0.053881230996398195,2.0,1.0,22.663520183638113
0,64,64,0.00945499911904335,0.9999799728393555,-0.05524642576433173,2.0,1.0,22.66622416763541
0,65,65,0.00914753321558237,0.9999799728393555,0.28570481552039045,1.0,1.0,26.330325953971307
0,66,66,0.00913971196860075,0.9999799728393555,-0.053498319727097836,1.0,1.0,26.351802450949826
0,67,67,0.009139561094343662,0.9999799728393555,-0.05459530153064498,1.0,1.0,26.36149870994013
0,68,68,0.009134914726018906,0.9999799728393555,-0.018178544102428324,1.0,1.0,26.762266240920976
0,69,69,0.009134181775152683,0.9999799728393555,-0.055257971217991586,1.0,1.0,26.764846240918395
0,70,70,0.009130820631980896,0.9999799728393555,-0.028265289269147103,1.0,1.0,27.057294510625947
0,71,71,0.00913024041801691,0.9999799728393555,-0.054950416140631474,1.0,1.0,27.063177274620063
0,72,72,0.009122317656874657,0.9999799728393555,0.010565496501066154,1.0,1.0,27.772620517410623
0,73,73,0.009329253807663918,0.9999799728393555,-0.05525364131901119,2.0,1.0,27.775247015207995
0,74,74,0.009329208172857761,0.9999799728393555,-0.055305201010882106,2.0,1.0,27.777319825205925
0,75,75,0.009120572358369827,0.9999799728393555,-0.052842850210921964,1.0,1.0,27.80583526017741
0,76,76,0.009113535284996033,0.9999799728393555,0.03807609392970791,1.0,1.0,28.810708549172535
0,77,77,0.009348920546472073,0.9999799728393555,-0.05518630380892515,3.0,0.0,28.814058169169186
0,78,78,0.009511975571513176,0.9999799728393555,-0.05466479355141173,3.0,1.0,28.823008169160236
0,79,79,0.009511764161288738,0.9999799728393555,-0.05483071195631053,3.0,1.0,28.830176409153065
0,80,80,0.009306633844971657,0.9999799728393555,-0.05472994904301758,2.0,1.0,28.838426719144817
0,81,81,0.009303282015025616,0.9999799728393555,-0.039233530960577793,2.0,1.0,29.013089536970156
0,82,82,0.00906894076615572,0.9999799728393555,0.5762838277420351,1.0,1.0,35.79765321910419
0,83,83,0.009181522764265537,0.9999799728393555,0.08418254706929357,2.0,1.0,37.29765321760419
0,84,84,0.009045193903148174,0.9999799728393555,-0.0508718938427899,2.0,0.0,37.347334304554515
0,85,85,0.009176579304039478,0.9999799728393555,-0.054770670550147525,2.0,1.0,37.3551473155467
0,86,86,0.00904493685811758,0.9999799728393555,-0.054703979221923944,2.0,0.0,37.36367650953817
0,87,87,0.009037012234330177,0.9999799728393555,-0.054785999024640146,1.0,1.0,37.37132491153052
0,88,88,0.009175481274724007,0.9999799728393555,-0.04621224945233312,2.0,1.0,37.471044859364916
0,89,89,0.009317026473581791,0.9999799728393555,-0.05469241961394614,3.0,1.0,37.47969818935626
0,90,90,0.009476719424128532,0.9999799728393555,-0.05534445968787637,4.0,1.0,37.481349409354614
0,91,91,0.009316867217421532,0.9999799728393555,-0.05473159448247888,3.0,1.0,37.48958204934638
0,92,92,0.009316745214164257,0.9999799728393555,-0.05478978549093191,3.0,1.0,37.49718978933877
0,93,93,0.009316685609519482,0.9999799728393555,-0.05522654286799029,3.0,1.0,37.50010729123586
0,94,94,0.009647006168961525,0.9999799728393555,-0.05473678781347812,5.0,1.0,37.50828416122768
0,95,95,0.009822404012084007,0.9999799728393555,-0.054430849978783225,6.0,1.0,37.519746428015196
0,96,96,0.009646506980061531,0.9999799728393555,-0.05497848191822736,5.0,1.0,37.52532780000961
0,97,97,0.009646281599998474,0.9999799728393555,-0.0547731411304728,5.0,1.0,37.533114280001826
0,98,98,0.00964575819671154,0.9999799728393555,-0.053804197887169995,5.0,1.0,37.551306021016856
0,99,99,0.009174215607345104,0.9999799728393555,-0.05505683091032872,2.0,1.0,37.556046021012115
0,100,100,0.00917420256882906,0.9999799728393555,-0.055498222141033345,2.0,1.0,37.556046021012115
0,101,101,0.00917420256882906,0.9999799728393555,-0.055498222141033345,2.0,1.0,37.556046021012115
0,102,102,0.00917420256882906,0.9999799728393555,-0.055498222141033345,2.0,1.0,37.556046021012115
0,103,103,0.002316651400178671,0.9999799728393555,1.0,2.0,1.0,0.9961815930390446
0,104,104,0.002275091363117099,0.9999799728393555,-0.055498222141033345,1.0,1.0,0.9961815930390446
0,105,105,0.0028427094221115112,0.9999799728393555,-0.055498222141033345,3.0,1.0,0.9961815930390446
0,106,106,0.0028427094221115112,0.9999799728393555,-0.055498222141033345,3.0,1.0,0.9961815930390446
0,107,107,0.0028427094221115112,0.9999799728393555,-0.055498222141033345,3.0,1.0,0.9961815930390446
0,108,108,0.0032612658105790615,0.9999799728393555,-0.055498222141033345,4.0,1.0,0.9961815930390446
0,109,109,0.003719879547134042,0.9999799728393555,-0.055498222141033345,6.0,1.0,0.9961815930390446
0,110,110,0.0035843446385115385,0.9999799728393555,-0.055498222141033345,8.0,1.0,0.9961815930390446
0,111,111,0.0018379378598183393,0.9999799728393555,-0.055498222141033345,14.0,1.0,0.9961815930390446
0,112,112,0.0018379378598183393,0.9999799728393555,-0.055498222141033345,14.0,1.0,0.9961815930390446
0,113,113,0.0016565407859161496,0.9999799728393555,-0.055498222141033345,14.0,0.0,0.9961815930390446
0,114,114,0.001880883937701583,0.9999799728393555,-0.055498222141033345,13.0,0.0,0.9961815930390446
0,115,115,0.0018379378598183393,0.9999799728393555,-0.055498222141033345,14.0,1.0,0.9961815930390446
0,116,116,0.002091688569635153,0.9999799728393555,-0.055498222141033345,13.0,1.0,0.9961815930390446
0,117,117,0.002091688569635153,0.9999799728393555,-0.055498222141033345,13.0,1.0,0.9961815930390446
0,118,118,0.002091688569635153,0.9999799728393555,-0.055498222141033345,13.0,1.0,0.9961815930390446
0,119,119,0.002091688569635153,0.9999799728393555,-0.055498222141033345,13.0,1.0,0.9961815930390446
0,120,120,0.002091688569635153,0.9999799728393555,-0.055498222141033345,13.0,1.0,0.9961815930390446
0,121,121,0.002091688569635153,0.9999799728393555,-0.055498222141033345,13.0,1.0,0.9961815930390446
0,122,122,0.002437480492517352,0.9999799728393555,-0.055498222141033345,12.0,1.0,0.9961815930390446
0,123,123,0.002300605643540621,0.9999799728393555,-0.055498222141033345,11.0,0.0,0.9961815930390446
0,124,124,0.0032612658105790615,0.9999799728393555,-0.055498222141033345,4.0,1.0,0.9961815930390446
0,125,125,0.0032612658105790615,0.9999799728393555,-0.055498222141033345,4.0,1.0,0.9961815930390446
0,126,126,0.002826153999194503,0.9999799728393555,-0.015105611022192286,3.0,1.0,0.9848501460118735
